faa,name,lat,lon,alt,tz,dst,tzone,state
COF,Patrick Afb,28.234922,-80.610125,8,-5,A,America/New_York,florida
COI,Merritt Island Airport,28.3416111,-80.6854722,6,-5,A,America/New_York,florida
CON,Concord Municipal,43.20267,-71.50233,342,-5,A,America/New_York,new hampshire
COS,City Of Colorado Springs Muni,38.805805,-104.700778,6187,-7,A,America/Denver,colorado
COT,Cotulla Lasalle Co,28.456694,-99.220294,474,-6,A,America/Chicago,texas
COU,Columbia Rgnl,38.818094,-92.219631,889,-6,A,America/Chicago,missouri
CPR,Natrona Co Intl,42.908,-106.464417,5347,-7,A,America/Denver,wyoming
CPS,St. Louis Downtown Airport,38.5707244,-90.1562211,413,-6,U,America/Chicago,illinois
CRE,Grand Strand Airport,33.81175,-78.7239444,31,-5,A,America/New_York,south carolina
CRP,Corpus Christi Intl,27.770361,-97.501222,44,-6,A,America/Chicago,texas
CRW,Yeager,38.373147,-81.593189,981,-5,A,America/New_York,west virginia
CSG,Columbus Metropolitan Airport,32.5163333,-84.9388611,397,-5,A,America/New_York,georgia
CTB,Cut Bank Muni,48.608353,-112.376144,3854,-7,A,America/Denver,montana
CTH,Chester County G O Carlson Airport,39.9789,-75.8654,660,-5,A,America/New_York,pennsylvania
CTJ,West Georgia Regional Airport - O V Gray Field,33.6316964,-85.1522641,1165,-5,A,America/New_York,georgia
CTY,Cross City,29.6355278,-83.10475,42,-5,A,America/New_York,florida
CVG,Cincinnati Northern Kentucky Intl,39.48836,-84.667822,896,-5,A,America/New_York,kentucky
CVN,Clovis Muni,34.425139,-103.079278,4216,-7,A,America/Denver,new mexico
CVO,Corvallis Muni,44.5067,-123.2915,250,-8,A,America/Los_Angeles,oregon
CVS,Cannon Afb,34.382775,-103.322147,4295,-7,A,America/Denver,new mexico
CVX,Charlevoix Municipal Airport,45.3047778,-85.2753333,669,-5,A,America/New_York,michigan
CWA,Central Wisconsin,44.772726,-89.646635,840,-6,A,America/Chicago,wisconsin
CWI,Clinton Municipal,41.83075,-90.3289722,708,-6,A,America/Chicago,iowa
CWT,Chatsworth Station,34.256944,-118.598889,978,-8,A,America/Los_Angeles,california
CXF,Coldfoot Airport,67.251389,-150.176111,1014,-9,A,America/Anchorage,alaska
CXL,Calexico Intl,32.669502,-115.51333,4,-8,A,America/Los_Angeles,california
CXO,Lone Star Executive,30.351833,-95.414467,245,-6,A,America/Chicago,texas
CXY,Capital City Airport,40.2171389,-76.8513611,347,-5,A,America/New_York,pennsylvania
CYF,Chefornak Airport,60.149167,-164.285556,40,-9,A,America/Anchorage,alaska
CYM,Chatham Seaplane Base,57.515,-134.946111,0,-9,A,America/Anchorage,alaska
CYS,Cheyenne Rgnl Jerry Olson Fld,41.155722,-104.811839,6156,-7,A,America/Denver,wyoming
CYT,Yakataga Airport,60.81901,-142.493611,12,-9,A,America/Anchorage,alaska
CZF,Cape Romanzof Lrrs,61.780297,-166.038747,457,-9,A,America/Anchorage,alaska
CZG,Tri-Cities,42.471,-76.0578,833,-5,A,America/New_York,new york
CZN,Chisana Airport,62.71111,-142.048333,1011,-9,A,America/Anchorage,alaska
DAB,Daytona Beach Intl,29.179917,-81.058056,34,-5,A,America/New_York,florida
DAL,Dallas Love Fld,32.847111,-96.851778,487,-6,A,America/Chicago,texas
DAW,Skyhaven Airport,43.2840556,-70.9292778,321,-5,A,America/New_York,pennsylvania
DAY,James M Cox Dayton Intl,39.902375,-84.219375,1009,-5,A,America/New_York,ohio
DBN,W H Barron Field,32.3388,-82.591,311,-5,A,America/New_York,georgia
DBQ,Dubuque Rgnl,42.402,-90.709472,1076,-6,A,America/Chicago,iowa
DCA,Ronald Reagan Washington Natl,38.852083,-77.037722,15,-5,A,America/New_York,district of columbia
DDC,Dodge City Regional Airport,37.7634,-99.9656,2594,-6,A,America/Chicago,kansas
DEC,Decatur,39.834564,-88.865689,682,-6,A,America/Chicago,illinois
DEN,Denver Intl,39.861656,-104.673178,5431,-7,A,America/Denver,colorado
DET,Coleman A Young Muni,42.409195,-83.009861,626,-5,A,America/New_York,michigan
DFW,Dallas Fort Worth Intl,32.896828,-97.037997,607,-6,A,America/Chicago,texas
DGL,Douglas Municipal Airport,31.3426028,-109.5064544,4173,-7,N,America/Phoenix,arizona
DHB,Deer Harbor Seaplane,48.618397,-123.00596,0,-8,A,America/Los_Angeles,washington
DHN,Dothan Rgnl,31.321339,-85.449628,401,-6,A,America/Chicago,alabama
DHT,Dalhart Muni,36.22586,-102.547278,3991,-6,A,America/Chicago,texas
DIK,Dickinson Theodore Roosevelt Regional Airport,46.7975,-102.801944,2592,-7,A,America/Denver,north dakota
DKB,De Kalb Taylor Municipal Airport,41.9338342,-88.7056864,914,-6,U,America/Chicago,illinois
DKK,Chautauqua County-Dunkirk Airport,42.4933353,-79.2720417,693,-5,A,America/New_York,new york
DKX,Knoxville Downtown Island Airport,35.9638333,-83.8736667,833,-5,A,America/New_York,tennessee
DLF,Laughlin Afb,29.359486,-100.777975,1082,-6,A,America/Chicago,texas
DLG,Dillingham,59.44667,-158.5055,74,-9,A,America/Anchorage,alaska
DLH,Duluth Intl,46.842091,-92.193649,1428,-6,A,America/Chicago,minnesota
DLL,Baraboo Wisconsin Dells Airport,43.5217843,-89.7709266,979,-6,A,America/Chicago,wisconsin
DMA,Davis Monthan Afb,32.166467,-110.883144,2704,-7,A,America/Phoenix,arizona
DNL,Daniel Field Airport,33.4665028,-82.0393808,423,-5,A,America/New_York,georgia
DNN,Dalton Municipal Airport,34.7229444,-84.87025,709,-5,A,America/New_York,georgia
DNV,Vermilion Regional,40.1996944,-87.5955278,696,-6,A,America/Chicago,illinois
DOV,Dover Afb,39.129539,-75.465958,28,-5,A,America/New_York,delaware
DPA,Dupage,41.907778,-88.248611,758,-6,A,America/Chicago,illinois
DQH,Douglas Municipal Airport,31.4767385,-82.8605664,257,-5,A,America/New_York,georgia
DRG,Deering Airport,66.696,-162.766,21,-9,A,America/Anchorage,alaska
DRI,Beauregard Rgnl,30.831722,-93.339917,202,-6,A,America/Chicago,louisiana
DRM,Drummond Island Airport,46.93114,-83.7439342,668,-5,A,America/New_York,michigan
DRO,Durango La Plata Co,37.151516,-107.75377,6685,-7,A,America/Denver,colorado
DRT,Del Rio Intl,29.374208,-100.927158,1002,-6,A,America/Chicago,texas
DSM,Des Moines Intl,41.533972,-93.663083,958,-6,A,America/Chicago,iowa
DTA,Delta Municipal Airport,39.3806386,-112.5077147,4759,-7,A,America/Denver,utah
DTS,Destin,30.4000611,-86.4714772,23,-6,A,America/Chicago,florida
DTW,Detroit Metro Wayne Co,42.212444,-83.353389,645,-5,A,America/New_York,michigan
DUC,Halliburton Field Airport,34.4713056,-97.9598611,1114,-6,A,America/Chicago,oklahoma
DUG,Bisbee Douglas Intl,31.469028,-109.603667,4154,-7,A,America/Phoenix,arizona
DUJ,DuBois Regional Airport,41.1783,-78.8987,1817,-5,A,America/New_York,pennsylvania
DUT,Unalaska,53.900139,-166.5435,22,-9,A,America/Anchorage,alaska
DVL,Devils Lake Regional Airport,48.114444,-98.908611,1445,-6,A,America/Chicago,north dakota
DVT,Deer Valley Municipal Airport,33.4117,112.457,1478,8,A,Asia/Chongqing,arizona
DWA,Yolo County Airport,38.5793889,-121.8569444,100,-8,A,America/Los_Angeles,california
DWH,David Wayne Hooks Field,30.63746,-95.554276,152,-6,A,America/Chicago,texas
DWS,Orlando,28.398,-81.57,340,-5,A,America/New_York,florida
DXR,Danbury Municipal Airport,41.3715353,-73.4821906,458,-5,A,America/New_York,connecticut
DYS,Dyess Afb,32.420756,-99.8546,1789,-6,A,America/Chicago,texas
E25,Wickenburg Municipal Airport,33.96889877,-112.7990036,2377,-7,A,America/Phoenix,arizona
E51,Bagdad Airport,34.5958528,-113.170195,4183,-7,A,America/Phoenix,arizona
E55,Ocean Ridge Airport,38.8016111,-123.5306389,940,-8,A,America/Los_Angeles,california
E63,Gila Bend Municipal Airport,32.960169,-112.673636,789,-7,U,America/Phoenix,arizona
E91,Chinle Municipal Airport,36.1108806,-109.5754222,5547,-7,N,America/Denver,arizona
EAA,Eagle Airport,64.778056,-141.149722,908,-9,A,America/Anchorage,alaska
EAR,Kearney Municipal Airport,40.727,-99.0068,2131,-6,A,America/Chicago,nebraska
EAT,Pangborn Field,47.398,-120.206,1249,-8,A,America/Los_Angeles,washington
EAU,Chippewa Valley Regional Airport,44.8658,-91.4843,913,-6,A,America/Chicago,wisconsin
ECA,Iosco County,44.311,-83.422,606,-5,A,America/New_York,michigan
ECG,Elizabeth City Cgas Rgnl,36.260581,-76.174572,12,-5,A,America/New_York,north carolina
ECP,Panama City-NW Florida Bea.,30.3417,-85.7973,69,-6,A,America/Chicago,florida
EDF,Elmendorf Afb,61.250986,-149.806503,212,-9,A,America/Anchorage,alaska
EDW,Edwards Afb,34.905417,-117.883739,2302,-8,A,America/Los_Angeles,california
EEK,Eek Airport,60.213611,-162.043889,15,-9,A,America/Anchorage,alaska
EEN,Dillant Hopkins Airport,72.270833,42.898333,149,-5,A,NA,new hampshire
EET,Shelby County Airport,33.1777778,-86.7832222,586,-6,A,America/Chicago,missouri
EFD,Ellington Fld,29.607333,-95.15875,32,-6,A,America/Chicago,connecticut
EGA,Eagle County Airport,39.6427611,-106.9159347,6548,-7,U,America/Denver,colorado
EGE,Eagle Co Rgnl,39.642556,-106.917694,6540,-7,A,America/Denver,colorado
EGT,Wellington Municipal,37.39411,-97.423225,1277,-6,A,America/Chicago,kansas
EGV,Eagle River,45.932333,-89.268283,1642,-6,A,America/Chicago,wisconsin
EGX,Egegik Airport,58.185556,-157.375556,92,-9,A,America/Anchorage,alaska
EHM,Cape Newenham Lrrs,58.646428,-162.062778,541,-9,A,America/Anchorage,alaska
EIL,Eielson Afb,64.665667,-147.1015,548,-9,A,America/Anchorage,alaska
EKI,Elkhart Municipal,41.719444,-86.003333,778,-5,A,America/New_York,indiana
EKN,Elkins Randolph Co Jennings Randolph,38.889444,-79.857139,1987,-5,A,America/New_York,west virginia
EKO,Elko Regional Airport,40.8249,-115.792,5140,-8,A,America/Los_Angeles,nevada
EKY,Bessemer,33.1876,-86.5558,700,-6,A,America/Chicago,alabama
ELD,South Arkansas Rgnl At Goodwin Fld,33.220972,-92.813278,277,-6,A,America/Chicago,arkansas
ELI,Elim Airport,64.615,-162.270556,162,-9,A,America/Anchorage,alaska
ELM,Elmira Corning Rgnl,42.159889,-76.891611,954,-5,A,America/New_York,new york
ELP,El Paso Intl,31.80725,-106.377583,3958,-7,A,America/Denver,texas
ELV,Elfin Cove Seaplane Base,58.195278,-136.3475,0,-9,A,America/Anchorage,alaska
ELY,Ely Airport,39.299722,-114.841944,6259,-8,A,America/Los_Angeles,nevada
EMK,Emmonak Airport,62.786111,-164.490833,13,-9,A,America/Anchorage,alaska
EMP,Emporia Municipal Airport,38.3321,-96.1912,1208,-6,A,America/Chicago,kansas
ENA,Kenai Muni,60.573111,-151.245,99,-9,A,America/Anchorage,alaska
END,Vance Afb,36.339167,-97.9165,1307,-6,A,America/Chicago,oklahoma
ENV,Wendover,40.718694,-114.030889,4237,-7,A,America/Denver,utah
ENW,Kenosha Regional Airport,42.5956944,-87.9278056,742,-6,A,America/Chicago,wisconsin
EOK,Keokuk Municipal Airport,40.4599078,-91.4285011,671,-6,A,America/Chicago,iowa
EPM,Eastport Municipal Airport,44.9101111,-67.0126944,45,-5,A,America/New_York,maine
EQY,Monroe Reqional Airport,35.1833,-80.62001,679,-5,A,America/New_York,north carolina
ERI,Erie Intl Tom Ridge Fld,42.82022,-80.176217,733,-5,A,America/New_York,pennsylvania
ERV,Kerrville Municipal Airport,29.9766667,-99.0854722,1617,-6,A,America/Chicago,texas
ERY,Luce County Airport,46.311199,-85.457298,869,-5,A,America/New_York,michigan
ESC,Delta County Airport,45.722778,-87.093611,609,-5,A,America/New_York,michigan
ESD,Orcas Island Airport,48.708056,-122.910556,31,-8,A,America/Los_Angeles,washington
ESF,Esler Rgnl,31.394903,-92.295772,112,-6,A,America/Chicago,louisiana
ESN,Easton-Newnam Field Airport,38.8041667,-76.069,72,-5,A,America/New_York,maryland
EUF,Weedon Field,31.5708,-85.0774,285,-6,A,America/Chicago,texas
EUG,Mahlon Sweet Fld,44.124583,-123.211972,374,-8,A,America/Los_Angeles,oregon
EVV,Evansville Regional,38.36997,-87.532364,418,-6,A,America/Chicago,indiana
EVW,Evanston-Uinta CO Burns Fld,41.1649,-111.0208,7143,-7,A,America/Denver,wyoming
EWB,New Bedford Regional Airport,41.6761,-70.9569,80,-5,A,America/New_York,massachusetts
EWK,Newton City-County Airport,38.570785,-97.2752278,1533,-6,A,America/Chicago,kansas
EWN,Craven Co Rgnl,35.72972,-77.042944,18,-5,A,America/New_York,north carolina
EWR,Newark Liberty Intl,40.6925,-74.168667,18,-5,A,America/New_York,new jersey
EWR,Newark Liberty Intl,40.6925,-74.168667,18,-5,A,America/New_York,new jersey
EXI,Excursion Inlet Seaplane Base,58.420556,-135.449167,0,-9,A,America/Anchorage,alaska
EYW,Key West Intl,24.556111,-81.759556,3,-5,A,America/New_York,florida
F57,Seaplane Base,28.575,-81.7628056,140,-5,A,America/New_York,florida
FAF,Felker Aaf,37.1325,-76.608841,12,-5,A,America/New_York,virginia
FAI,Fairbanks Intl,64.815114,-147.856267,434,-9,A,America/Anchorage,alaska
FAR,Hector International Airport,46.92065,-96.8157639,902,-6,A,America/Chicago,north dakota
FAT,Fresno Yosemite Intl,36.776194,-119.71814,336,-8,A,America/Los_Angeles,california
FAY,Fayetteville Regional Grannis Field,34.9912,-78.8803,189,-5,A,America/New_York,north carolina
FBG,Fredericksburg Amtrak Station,38.298416,-77.456875,130,-5,A,America/New_York,district of columbia
FBK,Ladd Aaf,64.8375,-147.614444,454,-9,A,America/Anchorage,alaska
FBR,Fort Bridger,41.236,-110.2436,7038,-7,A,America/Denver,wyoming
FBS,Friday Harbor Seaplane Base,48.537222,-123.009722,0,-8,A,America/Los_Angeles,washington
FCA,Glacier Park Intl,48.310472,-114.256,2977,-7,A,America/Denver,montana
FCM,Flying Cloud Airport,44.4938,-93.2726,906,-6,A,America/Chicago,minnesota
FCS,Butts Aaf,38.678394,-104.756581,5838,-7,A,America/Denver,colorado
FDW,Fairfield County Airport,34.315472,-81.108806,577,-5,A,America/New_York,south carolina
FDY,Findlay Airport,41.120278,-83.6686111,819,-5,U,America/New_York,ohio
FFA,First Flight Airport,36.2,-75.67,13,-5,A,America/New_York,north carolina
FFC,Atlanta Regional Airport - Falcon Field,33.35725,-84.5718333,808,-5,A,America/New_York,georgia
FFO,Wright Patterson Afb,39.826111,-84.048332,823,-5,A,America/New_York,ohio
FFT,Capital City Airport,38.1819722,-84.9061389,812,-5,A,America/New_York,pennsylvania
FFZ,Mesa Falcon Field,33.4608001708984,-111.7279968,1394,-7,A,America/Phoenix,arizona
FHU,Sierra Vista Muni Libby Aaf,31.588472,-110.344389,4719,-7,A,America/Phoenix,arizona
FIT,Fitchburg Municipal Airport,42.5541111,-71.7589722,348,-5,A,America/New_York,massachusetts
FKL,Franklin,41.377874,-79.860362,1540,-5,A,America/New_York,pennsylvania
FLD,Fond Du Lac County Airport,43.7711667,-88.4884167,808,-6,A,America/Chicago,wisconsin
FLG,Flagstaff Pulliam Airport,35.140318,-111.6692392,7015,-7,N,America/Phoenix,arizona
FLL,Fort Lauderdale Hollywood Intl,26.72583,-80.15275,9,-5,A,America/New_York,florida
FLO,Florence Rgnl,34.185361,-79.723889,146,-5,A,America/New_York,south carolina
FLV,Sherman Aaf,39.368332,-94.914686,772,-6,A,America/Chicago,kansas
FME,Tipton,39.85386,-76.759414,150,-5,A,America/New_York,maryland
FMH,Otis Angb,41.658439,-70.521417,131,-5,A,America/New_York,massachusetts
FMN,Four Corners Rgnl,36.74125,-108.229944,5506,-7,A,America/Denver,new mexico
FMY,Page Fld,26.586611,-81.86325,17,-5,A,America/New_York,florida
FNL,Fort Collins Loveland Muni,40.451828,-105.011336,5016,-7,A,America/Denver,colorado
FNR,Funter Bay Seaplane Base,58.254444,-134.897778,0,-9,A,America/Anchorage,alaska
FNT,Bishop International,42.965424,-83.743629,782,-5,A,America/New_York,michigan
FOD,Fort Dodge Rgnl,42.5512,-94.191842,1157,-6,A,America/Chicago,iowa
FOE,Forbes Fld,38.950944,-95.663611,1078,-6,A,America/Chicago,kansas
FOK,Francis S Gabreski,40.843656,-72.631789,67,-5,A,America/New_York,new york
FRD,Friday Harbor Airport,48.521944,-123.024444,113,-8,A,America/Los_Angeles,washington
FRI,Marshall Aaf,39.55275,-96.764453,1063,-6,A,America/Chicago,kansas
FRN,Bryant Ahp,61.266381,-149.653119,378,-9,A,America/Anchorage,alaska
FRP,St Lucie County International Airport,27.497472,-80.372638,23,-5,A,America/New_York,florida
FSD,Sioux Falls,43.582014,-96.741914,1429,-6,A,America/Chicago,south dakota
FSI,Henry Post Aaf,34.649833,-98.402167,1189,-6,A,America/Chicago,oklahoma
FSM,Fort Smith Rgnl,35.336583,-94.367444,469,-6,A,America/Chicago,arkansas
FST,Fort Stockton Pecos Co,30.915667,-102.916139,3011,-6,A,America/Chicago,texas
FTK,Godman Aaf,37.907058,-85.972106,756,-5,A,America/New_York,kentucky
FTW,Fort Worth Meacham Intl,32.819778,-97.362444,710,-6,A,America/Chicago,texas
FTY,Fulton County Airport Brown Field,33.7791,-84.5214,841,-5,A,America/New_York,georgia
FUL,Fullerton Municipal Airport,33.521925,-117.584722,96,-8,A,America/Los_Angeles,california
FWA,Fort Wayne,40.978472,-85.195139,815,-5,A,America/New_York,indiana
FXE,Fort Lauderdale Executive,26.197281,-80.170706,13,-5,A,America/New_York,florida
FYU,Fort Yukon,66.571492,-145.250417,433,-9,A,America/Anchorage,alaska
FYV,Drake Fld,36.5094,-94.170059,1251,-6,A,America/Chicago,arkansas
FZG,Fitzgerald Municipal Airport,31.6839046,-83.2709036,365,-5,A,America/New_York,georgia
FZI,Fostoria Metropolitan Airport,41.1908333,-83.3930833,752,-5,A,America/New_York,ohio
GAD,Northeast Alabama Regional Airport,33.9726489,-86.0890834,569,-6,A,America/Chicago,alabama
GAI,Montgomery County Airpark,39.1006,-77.09576,0,-5,A,America/New_York,maryland
GAL,Edward G Pitka Sr,64.736178,-156.937417,152,-9,A,America/Anchorage,alaska
GAM,Gambell Airport,63.7668,-171.733,27,-9,A,America/Anchorage,alaska
GBN,Great Bend Municipal,38.344167,-98.859167,1887,-6,A,America/Chicago,kansas
GCC,Gillette-Campbell County Airport,44.3489167,-105.5393611,4365,-7,A,America/Denver,wyoming
GCK,Garden City Rgnl,37.927528,-100.724417,2891,-6,A,America/Chicago,kansas
GCN,Grand Canyon National Park Airport,35.9523611,-112.1469722,6609,-7,N,America/Phoenix,arizona
GCW,Grand Canyon West Airport,35.5925,-113.4859,4825,-7,U,America/Phoenix,arizona
GDV,Dawson Community Airport,47.138611,-104.807222,749,-7,A,America/Denver,montana
GDW,Gladwin Zettel Memorial Airport,43.9705893,-84.47502,774,-5,A,America/New_York,michigan
GED,Sussex Co,38.689194,-75.358889,50,-5,A,America/New_York,maryland
GEG,Spokane Intl,47.619861,-117.533833,2376,-8,A,America/Los_Angeles,washington
GEU,Glendale Municipal Airport,33.5269167,-112.2951389,1071,-7,N,America/Phoenix,arizona
GFK,Grand Forks Intl,47.949256,-97.176111,845,-6,A,America/Chicago,north dakota
GFL,Floyd Bennett Memorial Airport,43.341222,-73.610305,328,-5,A,America/New_York,new york
GGE,Georgetown County Airport,33.3114018,-79.3203139,40,-5,A,America/New_York,south carolina
GGG,East Texas Rgnl,32.384014,-94.711486,365,-6,A,America/Chicago,texas
GGW,Wokal Field Glasgow International Airport,48.2125,-106.615,2296,-7,A,America/Denver,montana
GHG,Marshfield Municipal Airport,42.9825,-70.6721389,9,-5,A,America/New_York,massachusetts
GIF,Gilbert Airport,28.62778,-81.753333,145,-5,A,America/New_York,florida
GJT,Grand Junction Regional,39.122413,-108.526735,4858,-7,A,America/Denver,colorado
GKN,Gulkana,62.154888,-145.456639,1580,-9,A,America/Anchorage,alaska
GKY,Arlington Municipal,32.6638611,-97.0942778,628,-6,A,America/Chicago,oregon
GLD,Renner Fld,39.370621,-101.698992,3656,-7,A,America/Denver,kansas
GLH,Mid Delta Regional Airport,33.4829,-90.9856,131,-6,A,America/Chicago,mississippi
GLS,Scholes Intl At Galveston,29.265322,-94.860406,6,-6,A,America/Chicago,texas
GLV,Golovin Airport,64.550556,-163.007222,59,-9,A,America/Anchorage,alaska
GNT,Grants Milan Muni,35.167286,-107.901989,6537,-7,A,America/Denver,new mexico
GNU,Goodnews Airport,59.1175,-161.5775,15,-9,A,America/Anchorage,alaska
GNV,Gainesville Rgnl,29.690056,-82.271778,152,-5,A,America/New_York,florida
GON,Groton New London,41.330056,-72.045139,9,-5,A,America/New_York,connecticut
GPT,Gulfport-Biloxi,30.407278,-89.070111,28,-6,A,America/Chicago,mississippi
GPZ,Grand Rapids Itasca County,47.211111,-93.509722,413,-6,A,America/Chicago,minnesota
GQQ,Galion Municipal Airport,40.7533889,-82.7238056,1224,-5,A,America/New_York,ohio
GRB,Austin Straubel Intl,44.485072,-88.129589,695,-6,A,America/Chicago,wisconsin
GRF,Gray Aaf,47.79217,-122.580783,302,-8,A,America/Los_Angeles,washington
GRI,Central Nebraska Regional Airport,40.9675,-98.3096,1847,-6,A,America/Chicago,nebraska
GRK,Robert Gray Aaf,31.6725,-97.828917,1015,-6,A,America/Chicago,texas
GRM,Grand Marais Cook County Airport,47.8383333,-90.3829444,1799,-6,U,America/Chicago,minnesota
GRR,Gerald R Ford Intl,42.880833,-85.522806,794,-5,A,America/New_York,michigan
GSB,Seymour Johnson Afb,35.339383,-77.960589,110,-5,A,America/New_York,north carolina
GSO,Piedmont Triad,36.9775,-79.937306,925,-5,A,America/New_York,north carolina
GSP,Greenville-Spartanburg International,34.895556,-82.218889,964,-5,A,America/New_York,south carolina
GST,Gustavus Airport,58.4253,-135.707,34,-9,A,America/Anchorage,alaska
GTB,Wheeler Sack Aaf,44.55619,-75.719458,690,-5,A,America/New_York,new york
GTF,Great Falls Intl,47.482,-111.370689,3677,-7,A,America/Denver,montana
GTR,Golden Triangle Regional Airport,33.450333,-88.591361,264,-6,A,America/Chicago,mississippi
GTU,Georgetown Municipal Airport,30.678809,-97.6793837,790,-6,A,America/Chicago,texas
GUC,Gunnison - Crested Butte,38.533889,-106.933056,7678,-7,A,America/Denver,colorado
GUP,Gallup Muni,35.511058,-108.789308,6472,-7,A,America/Denver,new mexico
GUS,Grissom Arb,40.648094,-86.152119,812,-5,A,America/New_York,indiana
GVL,Lee Gilmer Memorial Airport,34.272627,-83.8302233,1276,-5,A,America/New_York,georgia
GVQ,Genesee County Airport,43.3175,-78.1696667,914,-5,A,America/New_York,new york
GVT,Majors,33.67839,-96.065333,535,-6,A,America/Chicago,california
GWO,Greenwood Leflore,33.494328,-90.084706,162,-6,A,America/Chicago,mississippi
GYY,Gary Chicago International Airport,41.6163,-87.4128,591,-6,A,America/Chicago,illinois
HBG,Hattiesburg Bobby L. Chain Municipal Airport,31.2649444,-89.2528889,151,-6,A,America/Chicago,mississippi
HBR,Hobart Muni,34.991308,-99.051353,1564,-6,A,America/Chicago,oklahoma
HCC,Columbia County,42.2913,-73.7103,198,-5,A,America/New_York,new york
HCR,Holy Cross Airport,62.1883,-159.775,70,-9,A,America/Anchorage,alaska
HDH,Dillingham,21.579475,-158.197281,14,-10,A,Pacific/Honolulu,hawaii
HDI,Hardwick Field Airport,35.2199994,-84.832369,874,-5,A,America/New_York,tennessee
HDN,Yampa Valley,40.481181,-107.21766,6602,-7,A,America/Denver,colorado
HDO,Hondo Municipal Airport,29.3591,-99.1775,930,-6,A,America/Chicago,texas
HFD,Hartford Brainard,41.736722,-72.649444,18,-5,A,America/New_York,connecticut
HGR,Hagerstown Regional Richard A Henson Field,39.7079,-77.7295,704,-5,A,America/New_York,maryland
HHH,Hilton Head,32.216,-80.752,10,-5,U,America/New_York,south carolina
HHI,Wheeler Aaf,21.4835,-158.039667,837,-10,A,Pacific/Honolulu,hawaii
HHR,Jack Northrop Fld Hawthorne Muni,33.922839,-118.335186,66,-8,A,America/Los_Angeles,california
HIB,Chisholm Hibbing,47.3866,-92.838994,1353,-6,A,America/Chicago,minnesota
HIF,Hill Afb,41.123939,-111.973039,4789,-7,A,America/Denver,utah
HII,Lake Havasu City Airport,34.5711111,-114.3582778,783,-7,N,America/Phoenix,arizona
HIO,Portland Hillsboro,45.540394,-122.949825,204,-8,A,America/Los_Angeles,oregon
HKB,Healy River Airport,63.8675,-148.968889,1263,-9,A,America/Anchorage,alaska
HKY,Hickory Rgnl,35.741147,-81.38955,1189,-5,A,America/New_York,north carolina
HLG,Wheeling Ohio County Airport,40.175,-80.6463,1195,-5,A,America/New_York,ohio
HLN,Helena Rgnl,46.606806,-111.98275,3877,-7,A,America/Denver,montana
HLR,Hood Aaf,31.138731,-97.714469,924,-6,A,America/Chicago,texas
HMN,Holloman Afb,32.852519,-106.106525,4093,-7,A,America/Denver,new mexico
HNH,Hoonah Airport,58.96111,-135.409722,19,-9,A,America/Anchorage,alaska
HNL,Honolulu Intl,21.318681,-157.922428,13,-10,N,Pacific/Honolulu,hawaii
HNM,Hana,20.795636,-156.014439,78,-10,A,Pacific/Honolulu,hawaii
HNS,Haines Airport,59.2438,-135.524,15,-9,A,America/Anchorage,alaska
HOB,Lea Co Rgnl,32.687528,-103.217028,3661,-7,A,America/Denver,new mexico
HOM,Homer,59.645556,-151.476583,84,-9,A,America/Anchorage,illinois
HON,Huron Rgnl,44.3852,-98.228542,1289,-6,A,America/Chicago,south dakota
HOP,Campbell Aaf,36.668567,-87.496183,573,-6,A,America/Chicago,kentucky
HOT,Memorial Field,34.478,-93.0962,540,-6,A,America/Chicago,arkansas
HOU,William P Hobby,29.645419,-95.278889,46,-6,A,America/Chicago,texas
HPB,Hooper Bay Airport,61.5239,-166.147,7,-9,A,America/Anchorage,alaska
HPN,Westchester Co,41.66959,-73.707575,439,-5,A,America/New_York,new york
HQM,Bowerman Field,46.9711944,-123.9365556,18,-8,A,America/Los_Angeles,washington
HQU,McDuffie County Airport,33.5297315,-82.5169509,501,-5,A,America/New_York,georgia
HRL,Valley Intl,26.2285,-97.654389,36,-6,A,America/Chicago,texas
HRO,Boone Co,36.261519,-93.154728,1365,-6,A,America/Chicago,indiana
HRT,Hurlburt Fld,30.427803,-86.689278,38,-6,A,America/Chicago,florida
HSH,Henderson Executive Airport,35.972778,-115.134444,1881,-8,A,America/Los_Angeles,california
HSL,Huslia Airport,65.697778,-156.351389,213,-9,A,America/Anchorage,alaska
HST,Homestead Arb,25.48855,-80.383567,6,-5,A,America/New_York,florida
HSV,Huntsville International Airport-Carl T Jones Field,34.6371944,-86.7750556,629,-6,A,America/Chicago,alabama
HTL,Roscommon Co,44.359806,-84.671112,1150,-5,A,America/New_York,michigan
HTS,Tri State Milton J Ferguson Field,38.3667,-82.558,828,-5,A,America/New_York,west virginia
HUA,Redstone Aaf,34.678653,-86.684781,685,-6,A,America/Chicago,alabama
HUF,Terre Haute Intl Hulman Fld,39.451464,-87.307561,589,-5,A,America/New_York,indiana
HUL,Houlton Intl,46.123083,-67.792056,489,-5,A,America/New_York,maine
HUS,Hughes Airport,66.39167,-154.264722,299,-9,A,America/Anchorage,california
HUT,Hutchinson Municipal Airport,38.655,-97.8606,1543,-6,A,America/Chicago,kansas
HVN,Tweed-New Haven Airport,41.26375,-72.886806,14,-5,A,America/New_York,connecticut
HVR,Havre City Co,48.542983,-109.762342,2590,-7,A,America/Denver,montana
HWD,Hayward Executive Airport,37.6588888888889,-122.1216667,52,-8,A,America/Los_Angeles,california
